RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
37,LESTAROX-F - NOMANOX P,"1,16","1,33","0,7519","0,54","0,8722","8265,6","44,2582"
22,DIOXIDO DE TITANIO  TIONA,10,"3,16","0,2577","4,62","3,1646",4410,"203,5635"
3,MBT-S  - VULKACIT DM,"1,16","1,5","0,6667","0,54","0,7733","6249,6","33,4635"
54,ESTEARINA ANIMAL MATER 53 EF,"2,5","0,85","1,1765","1,15","2,9412","3490,2","40,2765"
2,MBT - VULKACIT MERKAPTO/C,2,"1,5","0,6667","0,92","1,3333",4977,"45,9472"
212,STRUKTOL EF 44,"1,5",1,1,"0,69","1,5","12196,8","84,4498"
,,,,,,,,
,,,,,,,,
AN 120/7 BIS,Acrilo Blanco,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,"44,38",100,"5493,6","2437,916"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,75,"2,7","0,3704","33,28","27,7778","844,2","280,9754"
15,ZEOSIL 185 GRANULAR SILICE,15,2,"0,5","6,66","7,5",2709,"180,3275"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),8,"0,98","1,0204","3,55","8,1633","3844,2857","136,4795"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,83","1,2","0,8333","2,59","4,8583","8114,4","209,9359"
53,AZUFRE,"2,33","2,07","0,4831","1,03","1,1256","2154,6","22,2784"
4,TMTD - VULKACIT THIURAM/C,"0,16","1,4","0,7143","0,07","0,1143","4813,2","3,4176"
37,LESTAROX-F - NOMANOX P,"1,16","1,33","0,7519","0,51","0,8722","8265,6","42,5495"
22,DIOXIDO DE TITANIO  TIONA,10,"3,16","0,2577","4,44","3,1646",4410,"195,7043"
3,MBT-S  - VULKACIT DM,"1,16","1,5","0,6667","0,51","0,7733","6249,6","32,1715"
54,ESTEARINA ANIMAL MATER 53 EF,"2,5","0,85","1,1765","1,11","2,9412","3490,2","38,7215"
2,MBT - VULKACIT MERKAPTO/C,2,"1,5","0,6667","0,89","1,3333",4977,"44,1732"
123,STRUKTOL WB 222,"1,2","0,95","1,0526","0,53","1,2632",11340,"60,3887"
212,STRUKTOL EF 44,1,1,1,"0,44",1,"12196,8","54,1262"
,,,,,,,,
,,,,,,,,
AN 128/1,ACRILO EXTRUSION,DUREZA:,65,,,,,
74,ACRILO 1,"215,5","1,2","0,8333","82,55","179,5833",10080,"8321,4833"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,15,"2,7","0,3704","5,75","5,5556","844,2","48,5098"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204","3,83","10,2041","3844,2857","147,2681"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"6,08","1,2","0,8333","2,33","5,0667","8114,4","188,9961"
54,ESTEARINA ANIMAL MATER 53 EF,"1,82","0,85","1,1765","0,7","2,1412","3490,2","24,3341"
53,AZUFRE,"1,46","2,07","0,4831","0,56","0,7053","2154,6","12,0507"
7,"CBS - VULKACIT CZ/EG-C
","1,82","1,25","0,8","0,7","1,456",5355,"37,3357"
4,TMTD - VULKACIT THIURAM/C,"0,85","1,4","0,7143","0,33","0,6071","4813,2","15,6728"
14,VULKALENT G,"0,61","1,3","0,7692","0,23","0,4692","19857,6","46,4034"
32,CERA MICROCRISTALINA - ANTILUX 654,"3,04","0,9","1,1111","1,16","3,3778","8580,6","99,9273"
35,VULKANOX HS  TMQ,"2,43","0,85","1,1765","0,93","2,8588","4838,4","45,0403"
36,VULKANOX 4020    6PPD,"2,43","0,99","1,0101","0,93","2,4545",13041,"121,3976"
,,,,,,,,
,,,,,,,,
AN 128/16,Acrilo adhesión al metal PROPIEDADES DINAMICAS,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,"55,28",100,"5493,6","3036,8159"
38,NEGRO DE HUMO FEF N 550,60,"1,8","0,5556","33,17","33,3333","2507,4","831,6418"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),5,"0,98","1,0204","2,76","5,102","3844,2857","106,2544"
54,ESTEARINA ANIMAL MATER 53 EF,"1,5","0,85","1,1765","0,83","1,7647","3490,2","28,9403"
35,VULKANOX HS  TMQ,"1,5","0,85","1,1765","0,83","1,7647","4838,4","40,1194"
36,VULKANOX 4020    6PPD,2,"0,99","1,0101","1,11","2,0202",13041,"144,1791"
52,RESINA CUMARONA,"2,3","1,11","0,9009","1,27","2,0721","7484,4","95,1582"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,76","4,1667","8114,4","224,2786"
53,AZUFRE,2,"2,07","0,4831","1,11","0,9662","2154,6","23,8209"
7,"CBS - VULKACIT CZ/EG-C
",1,"1,25","0,8","0,55","0,8",5355,"29,602"
4,TMTD - VULKACIT THIURAM/C,"0,3","1,4","0,7143","0,17","0,2143","4813,2","7,9821"
14,VULKALENT G,"0,3","1,3","0,7692","0,17","0,2308","19857,6","32,9313"
,,,,,,,,
,,,,,,,,
AN 128/2,ACRILO SIN CARGA,DUREZA:,70,,,,,
244,ACRILO 3,184,"1,34","0,7463","64,31","137,3134",10206,"6563,8029"
47,ACRILO CJLT,4,1,1,"1,4",4,"5493,6","76,8067"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","1,75","4,1667","8114,4","141,8106"
54,ESTEARINA ANIMAL MATER 53 EF,"1,5","0,85","1,1765","0,52","1,7647","3490,2","18,2988"
53,AZUFRE,"1,2","2,07","0,4831","0,42","0,5797","2154,6","9,0371"
7,"CBS - VULKACIT CZ/EG-C
","1,5","1,25","0,8","0,52","1,2",5355,"28,0758"
4,TMTD - VULKACIT THIURAM/C,"0,7","1,4","0,7143","0,24","0,5","4813,2","11,7764"
37,LESTAROX-F - NOMANOX P,2,"1,33","0,7519","0,7","1,5038","8265,6","57,7812"
36,VULKANOX 4020    6PPD,2,"0,99","1,0101","0,7","2,0202",13041,"91,1639"
14,VULKALENT G,"0,2","1,3","0,7692","0,07","0,1538","19857,6","13,8816"
32,CERA MICROCRISTALINA - ANTILUX 654,"2,5","0,9","1,1111","0,87","2,7778","8580,6","74,979"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","20,97","22,2222","844,2","177,043"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"12,5","0,98","1,0204","4,37","12,7551","3844,2857","167,9608"
212,STRUKTOL EF 44,"1,5",1,1,"0,52","1,5","12196,8","63,9469"
