RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,87","14,1509","6854,4","470,7261"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"9,22","0,98","1,0204","4,22","9,4082","3844,2857","162,276"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,29","4,1667","8114,4","185,7522"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,46","1,1765","3490,2","15,9793"
53,AZUFRE,1,"2,07","0,4831","0,46","0,4831","2154,6","9,8645"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","20,0289"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,4979"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,69","1,1278","8265,6","56,764"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,69","1,5152",13041,"89,5591"
174,MICROPOR DN,8,"1,2","0,8333","3,66","6,6667","39450,6","1444,9446"
,,,,,,,,
,,,,,,,,
AN 112/6,ESPONJA DE ACRILO 2 NUEVA,DUREZA:,25,,,,,
47,ACRILO CJLT,"82,4",1,1,"36,8","82,4","5493,6","2021,582"
244,ACRILO 3,"35,1","1,34","0,7463","15,68","26,194",10206,"1599,8151"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","26,8","22,2222","844,2","226,2058"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,7","14,1509","6854,4","459,164"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"11,72","0,98","1,0204","5,23","11,9592","3844,2857","201,2104"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,23","4,1667","8114,4","181,1897"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,5868"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,6222"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,31","0,4667","6249,6","19,537"
1,DPG,"0,5","1,13","0,885","0,22","0,4425",9828,"21,9453"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,67","1,1278","8265,6","55,3698"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,67","1,5152",13041,"87,3593"
57,DISECANTE RS - KEZADOL GR,5,2,"0,5","2,23","2,5","3540,6","79,0595"
176,ESPONJANTE TSH,"3,5",1,1,"1,56","3,5","53461,8","835,6391"
,13/12/23: Cambio en aceite (de 10.26 a 11.72 PHR),,,,,,,
,,,,,,,,
"AN 112/6 REV, 1",ESPONJA DE ACRILO 2 NUEVA,DUREZA:,15,,,,,
47,ACRILO CJLT,"76,92",1,1,"34,61","76,92","5493,6","1901,0604"
74,ACRILO 1,"40,97","1,2","0,8333","18,43","34,1417",10080,"1857,9161"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","26,99","22,2222","844,2","227,8748"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,75","14,1509","6854,4","462,5517"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"9,69","0,98","1,0204","4,36","9,8878","3844,2857","167,5865"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,25","4,1667","8114,4","182,5265"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,7018"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,6932"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,31","0,4667","6249,6","19,6811"
1,DPG,"0,5","1,13","0,885","0,22","0,4425",9828,"22,1073"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,67","1,1278","8265,6","55,7783"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,67","1,5152",13041,"88,0039"
174,MICROPOR DN,"3,5","1,2","0,8333","1,57","2,9167","39450,6","621,1854"
57,DISECANTE RS - KEZADOL GR,5,2,"0,5","2,25","2,5","3540,6","79,6428"
,,,,,,,,
,,,,,,,,
AN 112/6 Rev.1,Esponja de Acrilo 08/03/16 se quita 5 phr dioctiol para prox,DUREZA:,15,,,,,
47,ACRILO CJLT,100,1,1,"45,11",100,"5493,6","2477,9432"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,77","8,3333","2507,4","169,6482"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,06","22,2222","844,2","228,4709"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,77","14,1509","6854,4","463,7618"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),12,"0,98","1,0204","5,41","12,2449","3844,2857","208,0804"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,26","4,1667","8114,4","183,0041"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,7429"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,7185"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","19,7326"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,1651"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,68","1,1278","8265,6","55,9242"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,68","1,5152",13041,"88,2341"
176,ESPONJANTE TSH,"3,5",1,1,"1,58","3,5","53461,8","844,0068"
57,DISECANTE RS - KEZADOL GR,5,2,"0,5","2,26","2,5","3540,6","79,8512"
,,,,,,,,
,,,,,,,,
AN 112/6 REV.2,ESPONJA DE ACRILO 1 NUEVA,DUREZA:,15,,,,,
47,ACRILO CJLT,"81,93",1,1,"36,88","81,93","5493,6","2026,0664"
74,ACRILO 1,"38,94","1,2","0,8333","17,53","32,45",10080,"1766,8926"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,01","22,2222","844,2","228,0081"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,75","14,1509","6854,4","462,8224"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"6,58","0,98","1,0204","2,96","6,7143","3844,2857","113,8663"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,25","4,1667","8114,4","182,6334"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,711"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,6989"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","19,6926"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,1202"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,68","1,1278","8265,6","55,8109"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,68","1,5152",13041,"88,0554"
174,MICROPOR DN,"3,5","1,2","0,8333","1,58","2,9167","39450,6","621,549"
57,DISECANTE RS - KEZADOL GR,5,2,"0,5","2,25","2,5","3540,6","79,6894"
,,,,,,,,
,,,,,,,,
AN 112/6 T,Esponja de Acrilo tunel,DUREZA:,15,,,,,
47,ACRILO CJLT,100,1,1,"44,9",100,"5493,6","2466,8163"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,74","8,3333","2507,4","168,8864"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","26,94","22,2222","844,2","227,445"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,74","14,1509","6854,4","461,6794"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),15,"0,98","1,0204","6,74","15,3061","3844,2857","258,9326"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,25","4,1667","8114,4","182,1823"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,6722"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,6749"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,31","0,4667","6249,6","19,644"
1,DPG,"0,5","1,13","0,885","0,22","0,4425",9828,"22,0656"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,67","1,1278","8265,6","55,6731"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,67","1,5152",13041,"87,8379"
57,DISECANTE RS - KEZADOL GR,3,2,"0,5","1,35","1,5","3540,6","47,6956"
176,ESPONJANTE TSH,"3,5",1,1,"1,57","3,5","53461,8","840,2169"
,,,,,,,,
,,,,,,,,
AN 112/7,Esponja de Acrilo,DUREZA:,20,,,,,
47,ACRILO CJLT,100,1,1,"45,11",100,"5493,6","2477,9432"
38,NEGRO DE HUMO FEF N 550,20,"1,8","0,5556","9,02","11,1111","2507,4","226,1976"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,06","22,2222","844,2","228,4709"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,77","14,1509","6854,4","463,7618"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),12,"0,98","1,0204","5,41","12,2449","3844,2857","208,0804"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,26","4,1667","8114,4","183,0041"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,7429"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,7185"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","19,7326"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,1651"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,68","1,1278","8265,6","55,9242"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,68","1,5152",13041,"88,2341"
176,ESPONJANTE TSH,"3,5",1,1,"1,58","3,5","53461,8","844,0068"
,,,,,,,,
,,,,,,,,
AN 112/8,Esponja de Acrilo,DUREZA:,35,,,,,
75,ACRILO 2,"95,85","1,2","0,8333","40,59","79,875",10080,"4091,3318"
47,ACRILO CJLT,46,1,1,"19,48",46,"5493,6","1070,1063"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","25,41","22,2222","844,2","214,4908"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,35","14,1509","6854,4","435,3843"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"4,6","0,98","1,0204","1,95","4,6939","3844,2857","74,8834"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,12","4,1667","8114,4","171,8061"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,42","1,1765","3490,2","14,7796"
53,AZUFRE,1,"2,07","0,4831","0,42","0,4831","2154,6","9,1239"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,3","0,4667","6249,6","18,5252"
1,DPG,"0,5","1,13","0,885","0,21","0,4425",9828,"20,8088"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,64","1,1278","8265,6","52,5022"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,64","1,5152",13041,"82,8351"
174,MICROPOR DN,"3,5","1,2","0,8333","1,48","2,9167","39450,6","584,7008"
,,,,,,,,
,,,,,,,,
AN 112/8 GR,ESPONJA ACRILO GR,DUREZA:,35,,,,,
74,ACRILO 1,"71,84","1,2","0,8333","29,8","59,8667",10080,"3004,2615"
47,ACRILO CJLT,"66,7",1,1,"27,67","66,7","5493,6","1520,1756"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,70,"2,7","0,3704","29,04","25,9259","844,2","245,1626"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,22","14,1509","6854,4","426,5516"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,07","4,1667","8114,4","168,3206"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,41","1,1765","3490,2","14,4798"
53,AZUFRE,1,"2,07","0,4831","0,41","0,4831","2154,6","8,9388"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,29","0,4667","6249,6","18,1494"
1,DPG,"0,5","1,13","0,885","0,21","0,4425",9828,"20,3867"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,62","1,1278","8265,6","51,4371"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,62","1,5152",13041,"81,1546"
176,ESPONJANTE TSH,"2,3",1,1,"0,95","2,3","53461,8","510,1317"
57,DISECANTE RS - KEZADOL GR,4,2,"0,5","1,66",2,"3540,6","58,7554"
,,,,,,,,
,,,,,,,,
AN 112/8 Rev. 1,Esponja de Acrilo,DUREZA:,35,,,,,
47,ACRILO CJLT,100,1,1,"42,83",100,"5493,6","2352,7195"
38,NEGRO DE HUMO FEF N 550,35,"1,8","0,5556","14,99","19,4444","2507,4","375,8415"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","25,7","22,2222","844,2","216,9251"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,42","14,1509","6854,4","440,3255"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204","4,28","10,2041","3844,2857","164,6375"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,14","4,1667","8114,4","173,7559"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,43","1,1765","3490,2","14,9473"
53,AZUFRE,1,"2,07","0,4831","0,43","0,4831","2154,6","9,2274"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,3","0,4667","6249,6","18,7354"
1,DPG,"0,5","1,13","0,885","0,21","0,4425",9828,"21,045"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,64","1,1278","8265,6","53,0981"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,64","1,5152",13041,"83,7752"
176,ESPONJANTE TSH,"2,3",1,1,"0,99","2,3","53461,8","526,6045"
,,,,,,,,
,,,,,,,,
AN 112/8 Rev. 2,Esponja de Acrilo,DUREZA:,35,,,,,
244,ACRILO 3,"77,78","1,34","0,7463","33,35","58,0448",10206,"3404,0424"
47,ACRILO CJLT,"61,11",1,1,"26,2","61,11","5493,6","1439,5965"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","25,73","22,2222","844,2","217,2041"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,43","14,1509","6854,4","440,8919"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"6,11","0,98","1,0204","2,62","6,2347","3844,2857","100,7229"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,14","4,1667","8114,4","173,9794"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,43","1,1765","3490,2","14,9666"
53,AZUFRE,1,"2,07","0,4831","0,43","0,4831","2154,6","9,2393"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,3","0,4667","6249,6","18,7595"
1,DPG,"0,5","1,13","0,885","0,21","0,4425",9828,"21,072"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,64","1,1278","8265,6","53,1664"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,64","1,5152",13041,"83,8829"
174,MICROPOR DN,2,"1,2","0,8333","0,86","1,6667","39450,6","338,3413"
,,,,,,,,
,,,,,,,,
AN 112/Prueba,ESPONJA DE ACRILO 3phr mas de dioctil,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"45,41",100,"5493,6","2494,8229"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,81","8,3333","2507,4","170,8038"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,25","22,2222","844,2","230,0272"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,81","14,1509","6854,4","466,921"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),15,"0,98","1,0204","6,81","15,3061","3844,2857","261,8723"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,27","4,1667","8114,4","184,2507"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,8501"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,7847"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","19,867"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,3161"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,68","1,1278","8265,6","56,3052"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,68","1,5152",13041,"88,8351"
176,ESPONJANTE TSH,4,1,1,"1,82",4,"53461,8","971,1499"
,,,,,,,,
,,,,,,,,
an 113/1,ACRILO PRENSA TAPONES DE SURTIDOR,DUREZA:,70,,,,,
74,ACRILO 1,213,"1,2","0,8333","94,46","177,5",10080,"9521,2417"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"4,26","1,2","0,1795","1,89","3,55","8114,4","153,292"
54,ESTEARINA ANIMAL MATER 53 EF,"1,85","0,85","1,1765","0,82","2,1765","3490,2","28,6336"
53,AZUFRE,2,"2,07","0,4831","0,89","0,9662","2154,6","19,1095"
4,TMTD - VULKACIT THIURAM/C,"0,14","1,4","0,7143","0,06","0,1","4813,2","2,9882"
3,MBT-S  - VULKACIT DM,1,"1,5","0,6667","0,44","0,6667","6249,6","27,7144"
1,DPG,"0,43","1,13","0,885","0,19","0,3805",9828,"18,7408"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,44","0,7519","8265,6","36,6545"
36,VULKANOX 4020    6PPD,"1,42","0,99","1,0101","0,63","1,4343",13041,"82,1207"
14,VULKALENT G,"0,4","1,3","0,7692","0,18","0,3077","19857,6","35,2241"
,,,,,,,,
,,,,,,,,
AN 113/2,Acrilo para arandela y reten para glp gas,DUREZA:,65,,,,,
47,ACRILO CJLT,80,1,1,"46,54",80,"5493,6","2556,6492"
155,BUDENE 1280,20,"0,9","1,1111","11,63","22,2222",18900,"2198,9529"
156,NEGRO DE HUMO HAF 330,45,"1,8","0,5556","26,18",25,3780,"989,5288"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204","5,82","10,2041","3844,2857","223,635"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,58","0,7519","8265,6","48,0838"
36,VULKANOX 4020    6PPD,1,"0,99","1,0101","0,58","1,0101",13041,"75,8639"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),6,"1,2","0,8333","3,49",5,"8114,4","283,2251"
54,ESTEARINA ANIMAL MATER 53 EF,2,"0,85","1,1765","1,16","2,3529","3490,2","40,6073"
53,AZUFRE,"0,5","2,07","0,4831","0,29","0,2415","2154,6","6,267"
3,MBT-S  - VULKACIT DM,"1,8","1,5","0,6667","1,05","1,2","6249,6","65,4408"
7,"CBS - VULKACIT CZ/EG-C
","1,8","1,25","0,8","1,05","1,44",5355,"56,0733"
4,TMTD - VULKACIT THIURAM/C,"1,2","1,4","0,7143","0,7","0,8571","4813,2","33,6"
6,SULFADS-RHENOGRAN DTDM-80,"1,6","1,4","0,7143","0,93","1,1429","15321,6","142,6094"
,,,,,,,,
,,,,,,,,
AN 116/1,Acrilo para tubo de nafta,DUREZA:,70,,,,,
244,ACRILO 3,184,"1,34","0,7463","69,04","137,3134",10206,"7046,2797"
47,ACRILO CJLT,4,1,1,"1,5",4,"5493,6","82,4524"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,50,"2,7","0,3704","18,76","18,5185","844,2","158,3805"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),15,"0,98","1,0204","5,63","15,3061","3844,2857","216,3682"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,32","1,2","0,8333",2,"4,4333","8114,4","161,9774"
54,ESTEARINA ANIMAL MATER 53 EF,2,"0,85","1,1765","0,75","2,3529","3490,2","26,1919"
53,AZUFRE,2,"2,07","0,4831","0,75","0,9662","2154,6","16,169"
3,MBT-S  - VULKACIT DM,"1,04","1,5","0,6667","0,39","0,6933","6249,6","24,3878"
4,TMTD - VULKACIT THIURAM/C,"0,15","1,4","0,7143","0,06","0,1071","4813,2","2,709"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,56","1,1278","8265,6","46,5213"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,56","1,5152",13041,"73,3987"
,,,,,,,,
,,,,,,,,
AN 116/1 Rev. 1,Acrilo para tubo de nafta,DUREZA:,70,,,,,
74,ACRILO 1,213,"1,2","0,8333","93,8","177,5",10080,"9455,4102"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,32","1,2","0,1795","2,34","4,4333","8114,4","190,1115"
54,ESTEARINA ANIMAL MATER 53 EF,2,"0,85","1,1765","0,88","2,3529","3490,2","30,7412"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,66","1,1278","8265,6","54,6017"
53,AZUFRE,2,"2,07","0,4831","0,88","0,9662","2154,6","18,9774"
3,MBT-S  - VULKACIT DM,"1,07","1,5","0,6667","0,47","0,7133","6249,6","29,4494"
4,TMTD - VULKACIT THIURAM/C,"0,15","1,4","0,7143","0,07","0,1071","4813,2","3,1795"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,66","1,5152",13041,"86,1474"
14,VULKALENT G,"0,53","1,3","0,7692","0,23","0,4077","19857,6","46,3493"
,,,,,,,,
,,,,,,,,
AN 116/10,TUBO NAFTA ACRILO,DUREZA:,60,,,,,
244,ACRILO 3,"184,5","1,34","0,7463","72,59","137,6866",10206,"7409,038"
47,ACRILO CJLT,"7,7",1,1,"3,03","7,7","5493,6","166,44"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,30,"2,7","0,3704","11,8","11,1111","844,2","99,6498"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),22,"0,98","1,0204","8,66","22,449","3844,2857","332,7731"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),2,"1,2","0,8333","0,79","1,6667","8114,4","63,8552"
53,AZUFRE,2,"2,07","0,4831","0,79","0,9662","2154,6","16,9553"
7,"CBS - VULKACIT CZ/EG-C
","1,8","1,25","0,8","0,71","1,44",5355,"37,9264"
4,TMTD - VULKACIT THIURAM/C,"0,15","1,4","0,7143","0,06","0,1071","4813,2","2,8408"
37,LESTAROX-F - NOMANOX P,2,"1,33","0,7519","0,79","1,5038","8265,6","65,0451"
212,STRUKTOL EF 44,1,1,1,"0,39",1,"12196,8","47,9906"
123,STRUKTOL WB 222,1,"0,95","1,0526","0,39","1,0526",11340,"44,6193"
,,,,,,,,
,,,,,,,,
AN 116/10 REV. 1,Acrilo para tubo de nafta,DUREZA:,60,,,,,
74,ACRILO 1,213,"1,2","0,8333","87,99","177,5",10080,"8869,5006"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,32","1,2","0,1795","2,2","4,4333","8114,4","178,3311"
54,ESTEARINA ANIMAL MATER 53 EF,2,"0,85","1,1765","0,83","2,3529","3490,2","28,8363"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,62","1,1278","8265,6","51,2182"
53,AZUFRE,2,"2,07","0,4831","0,83","0,9662","2154,6","17,8015"
